compound_id,smiles,WT,MT,MCM,WTScer1448_EDCT,WTSpom1645_EDCT,pdryCG196_EDCT,pdryCG200_EDCT,CLN2_EDCT,HOG1_EDCT,IRE1_EDCT,MKK1_EDCT,SLT2_EDCT,BCK1_EDCT,TOR1_EDCT,NPR1_EDCT,KSP1_EDCT,FMP48_EDCT,TOR2_EDCT,RIO1_EDCT,RIO2_EDCT,NNK1_EDCT,WTScer1450_ED_FICT,WTScer1448_ED_FODCT,WTSpom1645_ED_FODCT,pdryCG196_ED_FODCT,pdryCG200_ED_FODCT,CLN2_ED_FODCT,HOG1_ED_FODCT,IRE1_ED_FODCT,MKK1_ED_FODCT,SLT2_ED_FODCT,BCK1_ED_FODCT,TOR1_ED_FODCT,NPR1_ED_FODCT,KSP1_ED_FODCT,FMP48_ED_FODCT,TOR2_ED_FODCT,RIO2_ED_FODCT,NNK1_ED_FODCT,BW25113_Ecoli_FO12_5,MG1655_Ecoli_FO12_5,WT_het_dip_FO12_5,WT_mata_FO12_5,Sc_mata2uM_S12_9,Sc_hetdip2uM_S12_9,BW25113_Ecoli_S12_5,MG1655_Ecoli_S12_5,Sc_hdip2uM_F12_9,Sc_mata2uM_F12_9,BW25113_F27_9,MG1655_F27_9,n3B1wG418_F,n3B1noG418_F,n3B1wG418_S,n3B1noG418_S,MT1181-1st,MT2221-1st,MT1448,TOP1,CNB1,TEP1,Gas1,Smi1,GAS1,Ypt6,Ric1,MT2481,MT2481-24hours,PPH21,MT2481-Camptothecin,MT2481-Cantharidin,MT2481-cyclosporine,MT2481-Fenbendazole,WT-Ciclosporin,WT-CAMP,WT-Fen,But18,But24,Peu18,CHRA18,Leo18h,CHRA24,Leo24h,Cin2_16hrs,Cin2_18hrs,Cin2_20hrs,Cin2_22hrs,Alg12,ARP6-18,ARP6-20,CIN8-18,CIN8-20,CLA4-18,CLA4-20,CLA4-22,CTF4-16,CTF4-18,CTF4-20,CTF4-22,GIM5-18,GIM5-20,GIM5-22,SLT2-18,SLT2-20,SLT2-22,KRE1-18,POL32-18,DEP1-18,ESC1-18,HOC1-18,LGE1-19,MRC1-18,NUM1-18,SAP30-18,DUN1-18,YHR087W-18,Rot2-18,Gim3-18,Pac10-18,Swe1-18,shm2-21,cin2-18,MT1448sspH-24,MT1448sspH-48,MT1448sspH-45,WTScer1448_EDBA,pdryCG200_EDBA,WTScer1448log_EDBA,pdryCG196log_EDBA,CLN2_EDBA,HOG1_EDBA,IRE1_EDBA,MKK1_EDBA,SLT2_EDBA,BCK1_EDBA,TOR1_EDBA,NPR1_EDBA,KSP1_EDBA,FMP48_EDBA,TOR2_EDBA,RIO1_EDBA,pdryCG196_EDBA,WTSpom1645_EDBA,WTScer1448_FODBA,pdryCG196_FODBA,WTScer1448log_FODBA,pdryCG200_FODBA,pdryCG196log_FODBA,CLN2_FODBA,HOG1_FODBA,IRE1_FODBA,MKK1_FODBA,SLT2_FODBA,BCK1_FODBA,TOR1_FODBA,NPR1_FODBA,KSP1_FODBA,FMP48_FODBA,TOR2_FODBA,RIO1_FODBA,RIO2_FODBA,NNK1_FODBA,WTScer1450_FODBA,Tor1_GFP_BA,WtandRap_BA,WT-TB50_BA,Tor2_GF_BA,HRR25_he_BA,RAD53_he_BA,CDC28_he_BA,PHO85_he_BA,SNF1_he_BA,KSS1_he_BA,ELM1_BA,DBF2_BA,MCK1_BA,HSL1_BA,FAB1_BA,YCK3_BA,PFK27_BA,DAK1_BA,PRR2_BA,GLC7_BA,FAR1_BA,YNK1_BA,CKI1_BA,PFK2_BA,ARK1_BA,CKA2_BA,WtandRap_F_BA,Tor1_GFP_F_BA,WT-TB50_F_BA,Tor2_GFP_F_BA,HRR25_het_F_BA,RAD53_het_F_BA,CDC28_het_F_BA,PHO85_het_F_BA,KSS1_het_F_BA,SNF1_het_F_BA,ELM1_F_BA,DBF2_F_BA,MCK1_F_BA,HSL1_F_BA,FAB1_F_BA,PFK27_F_BA,DAK1_F_BA,PRR2_F_BA,GLC7_F_BA,FAR1_F_BA,YNK1_F_BA,CKI1_F_BA,PFK2_F_BA,ARK1_F_BA,CAK1_FO12_5,CDC14_FO12_5,TSCII_FO12_5,AVO1_FO12_5,CDC15_FO12_5,SDS22_FO12_5,CDC5_FO12_5,FCP1_FO12_5,SSU72_FO12_5,CBK1_FO12_5,J_WT_Gal_FO12_5,J_WT_Gluc_FO12_5,SCD5_FO12_5,CCL1_FO12_5,IPL1_FO12_5,LST8_FO12_5,PKC1_FO12_5,CKS1_FO12_5,MEC1_FO12_5,CDC28_FO12_5,CDC7_FO12_5,MPS1_FO12_5,DBF4_FO12_5,KIN28_FO12_5,YPI1_FO12_5,SLN1_FO12_5,Joanna_FO12_5,PBS2_FO12_5,ADK1_FO12_5,DUN1_FO12_5,cdc4_FO12_5,ISR1_FO12_5,DBF20_FO12_5,cdc34_FO12_5,cdc53_FO12_5,WT_hetdip_FO12_5,WT_pombe_FO12_5,SCH9_S12_9,ILV3_S12_9,SFP1_S12_9,SFP1_F12_9,SCH9_F12_9,ILV3_F12_9,Sc_mata_F12_9,Sc_mata_S12_9,BW25113_S27_9,MG1655_S27_9,CLN2_ED,MKK1_ED,HOG1_ED,SLT2_ED,IRE1_ED,BCK1_ED,WTcer_EDCT,pdr_yCG196_EDCT,SLT2_FINOD,HOG1_FINOD,CLN2_FINOD,BCK1_FINOD,MKK1_FINOD,WTcer_FINOD,pdr_yCG196_FINOD,TOR1_S12_9,NPR1_S12_9
AW 00029,CCN(CC)S(=O)(=O)c1ccc(-c2csc(C)n2)s1,0.362617,-0.0436741,0.0656693,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AW 00103,O=C(c1ccc(C(F)(F)F)cc1)N1CCN(c2nccc(C(F)(F)F)n2)CC1,-0.125248,-7.38358,-3.59366,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AW 00118,On1nnc2ccc(C(F)(F)F)cc21,-0.245941,-0.473826,-0.248239,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AW 00138,Fc1ccc(NC(=S)N2CCN(c3nccc(C(F)(F)F)n3)CC2)c(F)c1,-0.947403,0.140983,-0.406571,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AW 00170,O=C(O)/C=C/C(=O)Nc1ccc(-n2nccc2C(F)(F)F)cc1,0.0722138,0.125736,0.125736,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AW 00185,Clc1ccc(CNc2ncnc3scc(-c4ccccc4)c23)cc1,-1.91543,-3.72164,-2.4774,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AW 00204,O=C(c1cccs1)N1CCCN(c2ncc(C(F)(F)F)cc2Cl)CC1,-0.734312,-1.16081,-0.878599,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AW 00223,FC(F)(F)Oc1ccc(Oc2ccc(NC(=S)NC3CCCCCCC3)cc2)cc1,-0.481313,-0.867494,-0.481313,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AW 00237,Cc1cc(C)cc(NC(=S)Nc2ccc(Oc3ccc(OC(F)(F)F)cc3)cc2)c1,-1.31252,-0.613998,-1.31252,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AW 00248,O=C(Nc1ccc(Oc2ccc(OC(F)(F)F)cc2)cc1)c1ccccc1O,-0.712463,0.774239,0.516234,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AW 00030,Cc1nc(-c2ccc(S(=O)(=O)NC(C)(C)C)s2)cs1,0.49585,0.235829,0.49585,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AW 00104,Cc1noc(C)c1C(=O)N1CCN(c2nccc(C(F)(F)F)n2)CC1,0.434742,1.07478,0.773895,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AW 00120,OCCN1CCN(c2nc3ccc(Cl)cc3s2)CC1,0.877161,0.421135,0.638433,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AW 00139,Fc1ccc(NC(=S)N2CCN(c3nccc(C(F)(F)F)n3)CC2)cc1Cl,1.81398,0.351207,1.03732,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
